DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2019-04-08,10:59,MANHATTAN,10022,40.762913,-73.96981,"(40.762913, -73.96981)",PARK AVENUE                     ,EAST 59 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,4112066,Station Wagon/Sport Utility Vehicle,,,,
2019-04-08,10:59,QUEENS,11375,40.724964,-73.84551,"(40.724964, -73.84551)",108 STREET                      ,69 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4111075,Sedan,Sedan,,,
2019-04-08,11:00,BROOKLYN,11204,40.61384,-73.981445,"(40.61384, -73.981445)",65 STREET                       ,BAY PARKWAY,,0,0,0,0,0,0,0,0,Turning Improperly,Passing or Lane Usage Improper,,,,4111260,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,11:00,BROOKLYN,11212,40.664593,-73.907616,"(40.664593, -73.907616)",,,312       OSBORN STREET                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4111569,Station Wagon/Sport Utility Vehicle,Unkno,,,
2019-04-08,11:00,BROOKLYN,11223,40.604195,-73.97218,"(40.604195, -73.97218)",MC DONALD AVENUE                ,KINGS HIGHWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4111120,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,11:00,BROOKLYN,11229,40.610264,-73.954704,"(40.610264, -73.954704)",KINGS HIGHWAY                   ,EAST 19 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4111156,Station Wagon/Sport Utility Vehicle,,,,
2019-04-08,11:00,BROOKLYN,11230,40.615246,-73.963066,"(40.615246, -73.963066)",,,1123      AVENUE N                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111199,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2019-04-08,11:00,MANHATTAN,10001,40.74664,-73.991974,"(40.74664, -73.991974)",,,150       WEST 28 STREET                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4111958,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,11:00,MANHATTAN,10016,40.74967,-73.98158,"(40.74967, -73.98158)",EAST 37 STREET                  ,MADISON AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4111295,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,11:00,MANHATTAN,10036,40.75981,-73.9959,"(40.75981, -73.9959)",,,521       WEST 42 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111081,Beverage Truck,Sedan,,,
2019-04-08,11:00,QUEENS,11365,40.73585,-73.789345,"(40.73585, -73.789345)",67 AVENUE                       ,183 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,4111107,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
2019-04-08,11:00,QUEENS,11422,40.66685,-73.73672,"(40.66685, -73.73672)",241 STREET                      ,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4111043,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-04-08,11:01,,,40.825043,-73.85259,"(40.825043, -73.85259)",STORY AVENUE                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111155,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,11:05,QUEENS,11418,40.695244,-73.84177,"(40.695244, -73.84177)",,,105-09    JAMAICA AVENUE                ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4111031,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-04-08,11:10,BROOKLYN,11201,40.692055,-73.982544,"(40.692055, -73.982544)",FLATBUSH AVENUE EXTENSION       ,WILLOUGHBY STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4111417,Sedan,,,,
